Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2025-09-07 11:49:44.407772+05:30 IST Asia/Kolkata,XRPUSD,45,sell,45/0,2.8199,2.5379,,126.8955,0.06738152,0.4665,0.4665,market_order,closed,,,911940709
2025-09-07 11:49:44.211712+05:30 IST Asia/Kolkata,LTCUSD,12,sell,12/0,113.64,102.29,,136.368,0.07241141,2.104,2.104,market_order,closed,,,911940708
2025-09-07 11:49:44.103499+05:30 IST Asia/Kolkata,ALGOUSD,728,sell,728/0,0.229,0.2062,,166.712,0.08852408,1.0336,1.0336,market_order,closed,,,911940707
2025-09-07 11:49:43.984701+05:30 IST Asia/Kolkata,SUIUSD,4,sell,4/0,3.3747,3.0373,,13.4988,0.00716787,0.1276,0.1276,market_order,closed,,,911940706
2025-09-07 11:49:43.904155+05:30 IST Asia/Kolkata,FLOKIUSD,35,sell,35/0,0.0000911,0.000082,,31.885,0.01693094,0.567,0.567,market_order,closed,,,911940705
2025-09-07 11:49:43.513076+05:30 IST Asia/Kolkata,AVAXUSD,8,sell,0/8,,,24.5805,,0,,,market_order,cancelled,cancelled_by_user,,911921269
2025-09-07 11:47:19.401814+05:30 IST Asia/Kolkata,ETHUSD,8,sell,8/0,4288.65,4075.25,4288.88,343.092,0.18218186,0.87,0.87,market_order,closed,,,911920578
2025-09-07 11:49:43.561698+05:30 IST Asia/Kolkata,XRPUSD,45,sell,0/45,,,2.8187,,0,,,market_order,cancelled,cancelled_by_user,,911919366
2025-09-07 11:49:43.611977+05:30 IST Asia/Kolkata,LTCUSD,12,sell,0/12,,,112.98,,0,,,market_order,cancelled,cancelled_by_user,,911918353
2025-09-07 11:49:43.508499+05:30 IST Asia/Kolkata,DOGEUSD,7,sell,0/7,,,0.216069,,0,,,market_order,cancelled,cancelled_by_user,,911917353
2025-09-07 11:49:43.658566+05:30 IST Asia/Kolkata,ALGOUSD,728,sell,0/728,,,0.2286,,0,,,market_order,cancelled,cancelled_by_user,,911914146
2025-09-07 11:49:43.706340+05:30 IST Asia/Kolkata,SUIUSD,4,sell,0/4,,,3.368,,0,,,market_order,cancelled,cancelled_by_user,,911912841
2025-09-07 11:49:43.759409+05:30 IST Asia/Kolkata,FLOKIUSD,35,sell,0/35,,,0.00009094,,0,,,market_order,cancelled,cancelled_by_user,,911911876
2025-09-07 01:43:42.036259+05:30 IST Asia/Kolkata,ETHUSD,2,buy,2/0,4260.9,4473.2,,85.218,0.04525076,0,0,market_order,closed,,,911477922
2025-09-07 01:43:28.290327+05:30 IST Asia/Kolkata,XRPUSD,5,buy,5/0,2.7968,3.0762,,13.984,0.00742551,0,0,market_order,closed,,,911477670
2025-09-07 01:42:59.880833+05:30 IST Asia/Kolkata,ALGOUSD,128,buy,128/0,0.2253,0.2475,,28.8384,0.0153132,0,0,market_order,closed,,,911477258
2025-09-07 01:42:39.294101+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,1.1003E+5,115533,,110.03,0.05842593,0,0,market_order,closed,,,911477080
2025-09-06 19:05:38.443279+05:30 IST Asia/Kolkata,BNBUSD,1,sell,1/0,861.21,775.045,,86.121,0.04573026,0.027,0.027,market_order,closed,,,910853305
2025-09-06 19:03:54.427915+05:30 IST Asia/Kolkata,BNBUSD,1,buy,1/0,860.94,946.948,,86.094,0.04571592,0,0,market_order,closed,,,910851519
2025-09-06 16:18:55.430463+05:30 IST Asia/Kolkata,AVAXUSD,2,buy,2/0,24.14,26.541,,48.28,0.02563668,0,0,market_order,closed,,,910590175
2025-09-05 20:27:42.507554+05:30 IST Asia/Kolkata,AVAXUSD,4,buy,4/0,24.366,26.7995,,97.464,0.05175339,0,0,market_order,closed,,,909195283
2025-09-05 20:27:12.077101+05:30 IST Asia/Kolkata,XRPUSD,25,buy,25/0,2.8172,3.0976,,70.43,0.03739833,0,0,market_order,closed,,,909193781
2025-09-05 20:26:47.156861+05:30 IST Asia/Kolkata,FLOKIUSD,25,buy,25/0,0.0000896,0.00009864,,22.4,0.0118944,0,0,market_order,closed,,,909192497
2025-09-05 20:26:05.872890+05:30 IST Asia/Kolkata,BTCUSD,2,buy,2/0,110696.5,116252.5,,221.393,0.11755969,0,0,market_order,closed,,,909189816
2025-09-05 20:25:50.456887+05:30 IST Asia/Kolkata,ETHUSD,4,buy,4/0,4288.6,4500.85,,171.544,0.09108987,0,0,market_order,closed,,,909188949
2025-09-05 20:25:31.391603+05:30 IST Asia/Kolkata,LTCUSD,8,buy,8/0,112.11,123.25,,89.688,0.04762433,0,0,market_order,closed,,,909187894
2025-09-05 20:25:04.945103+05:30 IST Asia/Kolkata,DOGEUSD,5,buy,5/0,0.21406,0.235384,,107.03,0.05683293,0,0,market_order,closed,,,909186368
2025-09-05 20:24:46.555799+05:30 IST Asia/Kolkata,ALGOUSD,400,buy,400/0,0.2284,0.2509,,91.36,0.04851216,0,0,market_order,closed,,,909185367
2025-09-05 20:22:30.822723+05:30 IST Asia/Kolkata,FLOKIUSD,10,buy,10/0,0.00008918,0.000098,,8.918,0.00473546,0,0,market_order,closed,,,909177917
2025-09-05 20:22:11.083812+05:30 IST Asia/Kolkata,SUIUSD,4,buy,4/0,3.3428,3.6783,,13.3712,0.00710011,0,0,market_order,closed,,,909176818
2025-09-05 20:21:55.329092+05:30 IST Asia/Kolkata,ALGOUSD,200,buy,200/0,0.2274,0.2495,,45.48,0.02414988,0,0,market_order,closed,,,909175844
2025-09-05 20:21:26.951304+05:30 IST Asia/Kolkata,DOGEUSD,2,buy,2/0,0.21267,0.234122,,42.534,0.02258556,0,0,market_order,closed,,,909174044
2025-09-05 20:21:14.472216+05:30 IST Asia/Kolkata,LTCUSD,4,buy,4/0,111.44,122.66,,44.576,0.02366986,0,0,market_order,closed,,,909173246
2025-09-05 20:20:56.770676+05:30 IST Asia/Kolkata,XRPUSD,15,buy,15/0,2.801,3.0842,,42.015,0.02230997,0,0,market_order,closed,,,909171466
2025-09-05 20:20:37.835408+05:30 IST Asia/Kolkata,AVAXUSD,2,buy,2/0,24.192,26.5964,,48.384,0.02569191,0,0,market_order,closed,,,909169849
2025-09-05 20:20:11.818402+05:30 IST Asia/Kolkata,ETHUSD,2,buy,2/0,4273,4491.1,,85.46,0.04537926,0,0,market_order,closed,,,909168462
2025-09-05 20:20:00.438231+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,110666.5,1.1623E+5,,110.6665,0.05876392,0,0,market_order,closed,,,909167913
2025-09-05 18:29:42.108966+05:30 IST Asia/Kolkata,BTCUSD,1,sell,1/0,113206.5,107532.5,,113.2065,0.06011266,0.8515,0.8515,market_order,closed,,,908813642
2025-09-05 18:29:42.192471+05:30 IST Asia/Kolkata,ETHUSD,1,sell,1/0,4468.8,4243.9,,44.688,0.02372933,1.103,1.103,market_order,closed,,,908813641
2025-09-05 18:29:41.888115+05:30 IST Asia/Kolkata,AVAXUSD,2,sell,2/0,25.026,22.5142,,50.052,0.02657762,1.1,1.1,market_order,closed,,,908813640
2025-09-05 18:29:41.955452+05:30 IST Asia/Kolkata,XRPUSD,10,sell,10/0,2.8755,2.5877,,28.755,0.01526891,0.494,0.494,market_order,closed,,,908813639
2025-09-05 12:42:19.575061+05:30 IST Asia/Kolkata,XRPUSD,10,buy,10/0,2.8261,3.1093,,28.261,0.0150066,0,0,market_order,closed,,,907867232
2025-09-05 12:42:07.623094+05:30 IST Asia/Kolkata,AVAXUSD,2,buy,2/0,24.476,26.9025,,48.952,0.02599352,0,0,market_order,closed,,,907866326
2025-09-05 12:41:57.538235+05:30 IST Asia/Kolkata,ETHUSD,1,buy,1/0,4358.5,4574.7,,43.585,0.02314364,0,0,market_order,closed,,,907863488
2025-09-05 12:41:49.115709+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,112355,117909,,112.355,0.05966051,0,0,market_order,closed,,,907862679
2025-09-04 20:45:42.495794+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,109444.5,114926,,109.4445,0.05811503,0.575,0.575,market_order,closed,,,906832796
2025-09-04 20:45:42.378097+05:30 IST Asia/Kolkata,ETHUSD,2,buy,2/0,4313.5,4528.75,,86.27,0.04580937,0.747,0.747,market_order,closed,,,906832795
2025-09-04 20:45:42.178403+05:30 IST Asia/Kolkata,DOGEUSD,2,buy,2/0,0.21231,0.233387,,42.462,0.02254733,0.42,0.42,market_order,closed,,,906832794
2025-09-04 20:45:41.775633+05:30 IST Asia/Kolkata,AVAXUSD,2,buy,2/0,24.64,27.0857,,49.28,0.02616768,0.012,0.012,market_order,closed,,,906832793
2025-09-04 20:45:42.261445+05:30 IST Asia/Kolkata,XRPUSD,25,buy,25/0,2.8162,3.0971,,70.405,0.03738506,0.5525,0.5525,market_order,closed,,,906832792
2025-09-04 20:45:41.662296+05:30 IST Asia/Kolkata,UNIUSD,3,buy,3/0,9.28,10.2013,,27.84,0.01478304,0.135,0.135,market_order,closed,,,906832791
2025-09-04 20:26:14.446363+05:30 IST Asia/Kolkata,UNIUSD,3,sell,3/0,9.325,8.393,,27.975,0.01485473,0,0,market_order,closed,,,906764657
2025-09-04 20:17:44.426813+05:30 IST Asia/Kolkata,DOGEUSD,2,sell,2/0,0.21441,0.193008,,42.882,0.02277035,0,0,market_order,closed,,,906746977
2025-09-04 20:17:13.673841+05:30 IST Asia/Kolkata,XRPUSD,25,sell,25/0,2.8383,2.5544,,70.9575,0.03767844,0,0,market_order,closed,,,906745474
2025-09-04 20:16:52.325814+05:30 IST Asia/Kolkata,AVAXUSD,2,sell,2/0,24.646,22.1637,,49.292,0.02617406,0,0,market_order,closed,,,906744433
2025-09-04 20:16:23.877198+05:30 IST Asia/Kolkata,ETHUSD,2,sell,2/0,4350.85,4133.8,,87.017,0.04620603,0,0,market_order,closed,,,906742493
2025-09-04 20:16:06.110532+05:30 IST Asia/Kolkata,BTCUSD,1,sell,1/0,110019.5,104555.5,,110.0195,0.05842036,0,0,market_order,closed,,,906741205
2025-09-04 19:54:48.715846+05:30 IST Asia/Kolkata,BTCUSD,4,buy,4/0,109905.5,115395,,439.622,0.23343929,3.343,3.343,market_order,closed,,,906675268
2025-09-04 19:54:48.513108+05:30 IST Asia/Kolkata,SOLUSD,1,buy,1/0,206.052,226.6022,,206.052,0.10941362,0.239,0.239,market_order,closed,,,906675267
2025-09-04 19:54:48.372399+05:30 IST Asia/Kolkata,XRPUSD,100,buy,100/0,2.8267,3.1085,,282.67,0.15009777,0.38,0.38,market_order,closed,,,906675266
2025-09-04 19:54:48.258749+05:30 IST Asia/Kolkata,LTCUSD,10,buy,10/0,110.48,121.5,,110.48,0.05866488,0.36,0.36,market_order,closed,,,906675265
2025-09-04 10:54:08.433745+05:30 IST Asia/Kolkata,LTCUSD,10,sell,10/0,110.84,99.75,,110.84,0.05885604,0,0,market_order,closed,,,905748610
2025-09-04 10:44:32.617320+05:30 IST Asia/Kolkata,XRPUSD,100,sell,100/0,2.8305,2.5471,,283.05,0.15029955,0,0,market_order,closed,,,905732392
2025-09-04 10:34:22.300553+05:30 IST Asia/Kolkata,SOLUSD,1,sell,1/0,206.291,185.7605,,206.291,0.10954053,0,0,market_order,closed,,,905712698
2025-09-04 10:31:55.731147+05:30 IST Asia/Kolkata,BTCUSD,2,sell,2/0,110734.5,105253.5,,221.469,0.11760004,0,0,market_order,closed,,,905704785
2025-09-04 10:30:58.656664+05:30 IST Asia/Kolkata,BTCUSD,2,sell,2/0,110748,105249,,221.496,0.11761438,0,0,market_order,closed,,,905700211
2025-09-04 09:08:43.968132+05:30 IST Asia/Kolkata,BTCUSD,2,buy,2/0,111243,116805,,222.486,0.11814007,0.716,0.716,market_order,closed,,,905591852
2025-09-04 09:08:43.845455+05:30 IST Asia/Kolkata,DOGEUSD,4,buy,4/0,0.21636,0.23788,,86.544,0.04595487,0.68,0.68,market_order,closed,,,905591851
2025-09-04 09:08:43.737623+05:30 IST Asia/Kolkata,AVAXUSD,4,buy,4/0,25.166,27.6576,,100.664,0.05345259,-0.08,-0.08,market_order,closed,,,905591850
2025-09-04 09:08:43.562818+05:30 IST Asia/Kolkata,FLOKIUSD,15,buy,15/0,0.00009153,0.00010066,,13.7295,0.00729037,0.1425,0.1425,market_order,closed,,,905591849
2025-09-04 09:08:43.669809+05:30 IST Asia/Kolkata,POLUSD,15,buy,15/0,0.2739,0.3008,,41.085,0.02181614,0.48,0.48,market_order,closed,,,905591848
2025-09-04 07:56:05.530496+05:30 IST Asia/Kolkata,FLOKIUSD,15,sell,15/0,0.00009248,0.00008321,,13.872,0.00736604,0,0,market_order,closed,,,905476099
2025-09-04 07:55:44.950979+05:30 IST Asia/Kolkata,DOGEUSD,4,sell,4/0,0.21806,0.196269,,87.224,0.04631595,0,0,market_order,closed,,,905475501
2025-09-04 07:55:18.249518+05:30 IST Asia/Kolkata,POLUSD,15,sell,15/0,0.2771,0.2496,,41.565,0.02207102,0,0,market_order,closed,,,905474917
2025-09-04 07:54:29.605221+05:30 IST Asia/Kolkata,BTCUSD,2,sell,2/0,111601,106017,,223.202,0.11852027,0,0,market_order,closed,,,905474018
2025-09-04 07:54:18.018296+05:30 IST Asia/Kolkata,AVAXUSD,4,sell,4/0,25.146,22.63,,100.584,0.05341011,0,0,market_order,closed,,,905473813
2025-09-04 07:23:01.968107+05:30 IST Asia/Kolkata,XRPUSD,20,buy,20/0,2.8363,3.1196,,56.726,0.03012151,0.616,0.616,market_order,closed,,,905443470
2025-09-03 21:46:13.030511+05:30 IST Asia/Kolkata,XRPUSD,20,sell,20/0,2.8671,2.5804,,57.342,0.03044861,0,0,market_order,closed,,,904972412
2025-09-03 20:25:15.918017+05:30 IST Asia/Kolkata,XRPUSD,601,buy,601/0,2.8718,3.1572,2.8722,1725.9518,0.91648041,1.3615,1.3615,market_order,closed,,,904825047
2025-09-03 20:23:15.845727+05:30 IST Asia/Kolkata,XRPUSD,500,sell,500/0,2.873693,2.5866,,1436.8465,0.7629655,0,0,market_order,closed,,,904821777
2025-09-03 20:22:45.092061+05:30 IST Asia/Kolkata,XRPUSD,80,sell,80/0,2.8756,2.5881,,230.048,0.12215549,0,0,market_order,closed,,,904820602
2025-09-03 20:22:29.988599+05:30 IST Asia/Kolkata,XRPUSD,20,sell,20/0,2.877,2.5899,,57.54,0.03055374,0,0,market_order,closed,,,904820024
2025-09-03 20:21:00.970508+05:30 IST Asia/Kolkata,XRPUSD,1,sell,1/0,2.8788,2.5911,,2.8788,0.00152865,0,0,market_order,closed,,,904816438
2025-09-03 19:28:41.782666+05:30 IST Asia/Kolkata,BTCUSD,30,buy,30/0,111402,116948,111394.7,3342.06,1.77463386,7.25499999,7.25499999,market_order,closed,,,904658874
2025-09-03 19:18:54.620405+05:30 IST Asia/Kolkata,BTCUSD,20,sell,20/0,111583.5,106075,,2231.67,1.18501677,0,0,market_order,closed,,,904643919
