Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type,Status,Explanation,Client Order ID,Order ID
2025-09-04 09:08:43.669809+05:30 IST Asia/Kolkata,POLUSD,15,buy,15/0,0.2739,0.3008,,41.085,0.02181614,0.48,0.48,market_order,closed,,,905591848
2025-09-04 07:56:05.530496+05:30 IST Asia/Kolkata,FLOKIUSD,15,sell,15/0,0.00009248,0.00008321,,13.872,0.00736604,0,0,market_order,closed,,,905476099
2025-09-04 07:55:44.950979+05:30 IST Asia/Kolkata,DOGEUSD,4,sell,4/0,0.21806,0.196269,,87.224,0.04631595,0,0,market_order,closed,,,905475501
2025-09-04 07:55:18.249518+05:30 IST Asia/Kolkata,POLUSD,15,sell,15/0,0.2771,0.2496,,41.565,0.02207102,0,0,market_order,closed,,,905474917
2025-09-04 07:54:29.605221+05:30 IST Asia/Kolkata,BTCUSD,2,sell,2/0,111601,106017,,223.202,0.11852027,0,0,market_order,closed,,,905474018
2025-09-04 07:54:18.018296+05:30 IST Asia/Kolkata,AVAXUSD,4,sell,4/0,25.146,22.63,,100.584,0.05341011,0,0,market_order,closed,,,905473813
2025-09-04 07:23:01.968107+05:30 IST Asia/Kolkata,XRPUSD,20,buy,20/0,2.8363,3.1196,,56.726,0.03012151,0.616,0.616,market_order,closed,,,905443470
2025-09-03 21:46:13.030511+05:30 IST Asia/Kolkata,XRPUSD,20,sell,20/0,2.8671,2.5804,,57.342,0.03044861,0,0,market_order,closed,,,904972412
2025-09-03 20:25:15.918017+05:30 IST Asia/Kolkata,XRPUSD,601,buy,601/0,2.8718,3.1572,2.8722,1725.9518,0.91648041,1.3615,1.3615,market_order,closed,,,904825047
2025-09-03 20:23:15.845727+05:30 IST Asia/Kolkata,XRPUSD,500,sell,500/0,2.873693,2.5866,,1436.8465,0.7629655,0,0,market_order,closed,,,904821777
2025-09-03 20:22:45.092061+05:30 IST Asia/Kolkata,XRPUSD,80,sell,80/0,2.8756,2.5881,,230.048,0.12215549,0,0,market_order,closed,,,904820602
2025-09-03 20:22:29.988599+05:30 IST Asia/Kolkata,XRPUSD,20,sell,20/0,2.877,2.5899,,57.54,0.03055374,0,0,market_order,closed,,,904820024
2025-09-03 20:21:00.970508+05:30 IST Asia/Kolkata,XRPUSD,1,sell,1/0,2.8788,2.5911,,2.8788,0.00152865,0,0,market_order,closed,,,904816438
2025-09-03 19:28:41.782666+05:30 IST Asia/Kolkata,BTCUSD,30,buy,30/0,111402,116948,111394.7,3342.06,1.77463386,7.25499999,7.25499999,market_order,closed,,,904658874
2025-09-03 19:18:54.620405+05:30 IST Asia/Kolkata,BTCUSD,20,sell,20/0,111583.5,106075,,2231.67,1.18501677,0,0,market_order,closed,,,904643919
2025-09-03 19:18:00.694490+05:30 IST Asia/Kolkata,BTCUSD,10,sell,10/0,111764.5,106160.5,,1117.645,0.5934695,0,0,market_order,closed,,,904640293
2025-09-03 16:14:16.641872+05:30 IST Asia/Kolkata,XRPUSD,1,sell,1/0,2.8515,2.5664,,2.8515,0.00151415,0.0239,0.0239,market_order,closed,,,904181613
2025-09-03 16:14:16.573411+05:30 IST Asia/Kolkata,UNIUSD,5,sell,5/0,9.531,8.5789,,47.655,0.02530481,0.245,0.245,market_order,closed,,,904181612
